Year,Month,Date,Region,CrimeType,CrimeCount
2020,3,2020-03-01,Kunene,Drug Related,21
2020,3,2020-03-01,Otjozondjupa,Theft,52
2020,3,2020-03-01,Otjozondjupa,Assault,38
2020,3,2020-03-01,Otjozondjupa,Robbery,24
2020,3,2020-03-01,Otjozondjupa,Sexual Offence,15
2020,3,2020-03-01,Otjozondjupa,Housebreaking,51
2020,3,2020-03-01,Otjozondjupa,Fraud,17
2020,3,2020-03-01,Otjozondjupa,Car Theft,8
2020,3,2020-03-01,Otjozondjupa,Drug Related,28
2020,3,2020-03-01,Kavango East,Theft,154
2020,3,2020-03-01,Kavango East,Assault,109
2020,3,2020-03-01,Kavango East,Robbery,58
2020,3,2020-03-01,Kavango East,Sexual Offence,29
2020,3,2020-03-01,Kavango East,Housebreaking,92
2020,3,2020-03-01,Kavango East,Fraud,51
2020,3,2020-03-01,Kavango East,Car Theft,27
2020,3,2020-03-01,Kavango East,Drug Related,65
2020,3,2020-03-01,Kavango West,Theft,61
2020,3,2020-03-01,Kavango West,Assault,43
2020,3,2020-03-01,Kavango West,Robbery,15
2020,3,2020-03-01,Kavango West,Sexual Offence,18
2020,3,2020-03-01,Kavango West,Housebreaking,39
2020,3,2020-03-01,Kavango West,Fraud,14
2020,3,2020-03-01,Kavango West,Car Theft,10
2020,3,2020-03-01,Kavango West,Drug Related,26
2020,3,2020-03-01,Zambezi,Theft,53
2020,3,2020-03-01,Zambezi,Assault,54
2020,3,2020-03-01,Zambezi,Robbery,22
2020,3,2020-03-01,Zambezi,Sexual Offence,17
2020,3,2020-03-01,Zambezi,Housebreaking,37
2020,3,2020-03-01,Zambezi,Fraud,15
2020,3,2020-03-01,Zambezi,Car Theft,7
2020,3,2020-03-01,Zambezi,Drug Related,28
2020,3,2020-03-01,Hardap,Theft,55
2020,3,2020-03-01,Hardap,Assault,47
2020,3,2020-03-01,Hardap,Robbery,24
2020,3,2020-03-01,Hardap,Sexual Offence,15
2020,3,2020-03-01,Hardap,Housebreaking,46
2020,3,2020-03-01,Hardap,Fraud,16
2020,3,2020-03-01,Hardap,Car Theft,5
2020,3,2020-03-01,Hardap,Drug Related,25
2020,3,2020-03-01,ǁKaras,Theft,51
2020,3,2020-03-01,ǁKaras,Assault,36
2020,3,2020-03-01,ǁKaras,Robbery,22
2020,3,2020-03-01,ǁKaras,Sexual Offence,10
2020,3,2020-03-01,ǁKaras,Housebreaking,31
2020,3,2020-03-01,ǁKaras,Fraud,9
2020,3,2020-03-01,ǁKaras,Car Theft,9
2020,3,2020-03-01,ǁKaras,Drug Related,32
2020,3,2020-03-01,Omaheke,Theft,58
2020,3,2020-03-01,Omaheke,Assault,42
2020,3,2020-03-01,Omaheke,Robbery,22
2020,3,2020-03-01,Omaheke,Sexual Offence,14
2020,3,2020-03-01,Omaheke,Housebreaking,40
2020,3,2020-03-01,Omaheke,Fraud,20
2020,3,2020-03-01,Omaheke,Car Theft,9
2020,3,2020-03-01,Omaheke,Drug Related,28
2020,4,2020-04-01,Khomas,Theft,137
2020,4,2020-04-01,Khomas,Assault,107
2020,4,2020-04-01,Khomas,Robbery,69
2020,4,2020-04-01,Khomas,Sexual Offence,43
2020,4,2020-04-01,Khomas,Housebreaking,99
2020,4,2020-04-01,Khomas,Fraud,38
2020,4,2020-04-01,Khomas,Car Theft,27
2020,4,2020-04-01,Khomas,Drug Related,78
2020,4,2020-04-01,Erongo,Theft,137
2020,4,2020-04-01,Erongo,Assault,118
2020,4,2020-04-01,Erongo,Robbery,63
2020,4,2020-04-01,Erongo,Sexual Offence,38
2020,4,2020-04-01,Erongo,Housebreaking,97
2020,4,2020-04-01,Erongo,Fraud,45
2020,4,2020-04-01,Erongo,Car Theft,22
2020,4,2020-04-01,Erongo,Drug Related,75
2020,4,2020-04-01,Oshana,Theft,141
2020,4,2020-04-01,Oshana,Assault,116
2020,4,2020-04-01,Oshana,Robbery,49
2020,4,2020-04-01,Oshana,Sexual Offence,32
2020,4,2020-04-01,Oshana,Housebreaking,88
2020,4,2020-04-01,Oshana,Fraud,46
2020,4,2020-04-01,Oshana,Car Theft,27
2020,4,2020-04-01,Oshana,Drug Related,58
2020,4,2020-04-01,Ohangwena,Theft,143
2020,4,2020-04-01,Ohangwena,Assault,113
2020,4,2020-04-01,Ohangwena,Robbery,60
2020,4,2020-04-01,Ohangwena,Sexual Offence,29
2020,4,2020-04-01,Ohangwena,Housebreaking,86
2020,4,2020-04-01,Ohangwena,Fraud,45
2020,4,2020-04-01,Ohangwena,Car Theft,19
2020,4,2020-04-01,Ohangwena,Drug Related,79
2020,4,2020-04-01,Oshikoto,Theft,45
2020,4,2020-04-01,Oshikoto,Assault,35
2020,4,2020-04-01,Oshikoto,Robbery,23
2020,4,2020-04-01,Oshikoto,Sexual Offence,14
2020,4,2020-04-01,Oshikoto,Housebreaking,44
2020,4,2020-04-01,Oshikoto,Fraud,22
2020,4,2020-04-01,Oshikoto,Car Theft,7
2020,4,2020-04-01,Oshikoto,Drug Related,22
2020,4,2020-04-01,Omusati,Theft,41
2020,4,2020-04-01,Omusati,Assault,40
2020,4,2020-04-01,Omusati,Robbery,24
2020,4,2020-04-01,Omusati,Sexual Offence,12
2020,4,2020-04-01,Omusati,Housebreaking,37
2020,4,2020-04-01,Omusati,Fraud,20
2020,4,2020-04-01,Omusati,Car Theft,12
2020,4,2020-04-01,Omusati,Drug Related,24
2020,4,2020-04-01,Kunene,Theft,46
2020,4,2020-04-01,Kunene,Assault,48
2020,4,2020-04-01,Kunene,Robbery,24
2020,4,2020-04-01,Kunene,Sexual Offence,15
2020,4,2020-04-01,Kunene,Housebreaking,41
2020,4,2020-04-01,Kunene,Fraud,21
2020,4,2020-04-01,Kunene,Car Theft,10
2020,4,2020-04-01,Kunene,Drug Related,28
2020,4,2020-04-01,Otjozondjupa,Theft,57
2020,4,2020-04-01,Otjozondjupa,Assault,32
2020,4,2020-04-01,Otjozondjupa,Robbery,20
2020,4,2020-04-01,Otjozondjupa,Sexual Offence,17
2020,4,2020-04-01,Otjozondjupa,Housebreaking,35
2020,4,2020-04-01,Otjozondjupa,Fraud,17
2020,4,2020-04-01,Otjozondjupa,Car Theft,9
2020,4,2020-04-01,Otjozondjupa,Drug Related,38
2020,4,2020-04-01,Kavango East,Theft,149
2020,4,2020-04-01,Kavango East,Assault,105
2020,4,2020-04-01,Kavango East,Robbery,53
2020,4,2020-04-01,Kavango East,Sexual Offence,34
2020,4,2020-04-01,Kavango East,Housebreaking,95
2020,4,2020-04-01,Kavango East,Fraud,41
2020,4,2020-04-01,Kavango East,Car Theft,28
2020,4,2020-04-01,Kavango East,Drug Related,82
2020,4,2020-04-01,Kavango West,Theft,57
2020,4,2020-04-01,Kavango West,Assault,43
2020,4,2020-04-01,Kavango West,Robbery,22
2020,4,2020-04-01,Kavango West,Sexual Offence,13
2020,4,2020-04-01,Kavango West,Housebreaking,36
2020,4,2020-04-01,Kavango West,Fraud,19
2020,4,2020-04-01,Kavango West,Car Theft,4
2020,4,2020-04-01,Kavango West,Drug Related,25
2020,4,2020-04-01,Zambezi,Theft,56
2020,4,2020-04-01,Zambezi,Assault,44
2020,4,2020-04-01,Zambezi,Robbery,27
2020,4,2020-04-01,Zambezi,Sexual Offence,13
2020,4,2020-04-01,Zambezi,Housebreaking,28
2020,4,2020-04-01,Zambezi,Fraud,19
2020,4,2020-04-01,Zambezi,Car Theft,4
2020,4,2020-04-01,Zambezi,Drug Related,25
2020,4,2020-04-01,Hardap,Theft,41
2020,4,2020-04-01,Hardap,Assault,32
2020,4,2020-04-01,Hardap,Robbery,25
2020,4,2020-04-01,Hardap,Sexual Offence,10
2020,4,2020-04-01,Hardap,Housebreaking,27
2020,4,2020-04-01,Hardap,Fraud,21
2020,4,2020-04-01,Hardap,Car Theft,11
2020,4,2020-04-01,Hardap,Drug Related,32
2020,4,2020-04-01,ǁKaras,Theft,57
2020,4,2020-04-01,ǁKaras,Assault,45
2020,4,2020-04-01,ǁKaras,Robbery,13
2020,4,2020-04-01,ǁKaras,Sexual Offence,12
2020,4,2020-04-01,ǁKaras,Housebreaking,42
2020,4,2020-04-01,ǁKaras,Fraud,18
2020,4,2020-04-01,ǁKaras,Car Theft,8
2020,4,2020-04-01,ǁKaras,Drug Related,23
2020,4,2020-04-01,Omaheke,Theft,64
2020,4,2020-04-01,Omaheke,Assault,45
2020,4,2020-04-01,Omaheke,Robbery,20
2020,4,2020-04-01,Omaheke,Sexual Offence,18
2020,4,2020-04-01,Omaheke,Housebreaking,35
2020,4,2020-04-01,Omaheke,Fraud,18
2020,4,2020-04-01,Omaheke,Car Theft,12
2020,4,2020-04-01,Omaheke,Drug Related,27
2020,5,2020-05-01,Khomas,Theft,160
2020,5,2020-05-01,Khomas,Assault,108
2020,5,2020-05-01,Khomas,Robbery,62
2020,5,2020-05-01,Khomas,Sexual Offence,34
2020,5,2020-05-01,Khomas,Housebreaking,89
2020,5,2020-05-01,Khomas,Fraud,44
2020,5,2020-05-01,Khomas,Car Theft,23
2020,5,2020-05-01,Khomas,Drug Related,57
2020,5,2020-05-01,Erongo,Theft,145
2020,5,2020-05-01,Erongo,Assault,119
2020,5,2020-05-01,Erongo,Robbery,54
2020,5,2020-05-01,Erongo,Sexual Offence,40
2020,5,2020-05-01,Erongo,Housebreaking,85
2020,5,2020-05-01,Erongo,Fraud,53
2020,5,2020-05-01,Erongo,Car Theft,24
2020,5,2020-05-01,Erongo,Drug Related,80
2020,5,2020-05-01,Oshana,Theft,159
2020,5,2020-05-01,Oshana,Assault,93
2020,5,2020-05-01,Oshana,Robbery,44
2020,5,2020-05-01,Oshana,Sexual Offence,48
2020,5,2020-05-01,Oshana,Housebreaking,83
2020,5,2020-05-01,Oshana,Fraud,61
2020,5,2020-05-01,Oshana,Car Theft,24
2020,5,2020-05-01,Oshana,Drug Related,96
2020,5,2020-05-01,Ohangwena,Theft,172
2020,5,2020-05-01,Ohangwena,Assault,121
2020,5,2020-05-01,Ohangwena,Robbery,60
2020,5,2020-05-01,Ohangwena,Sexual Offence,39
2020,5,2020-05-01,Ohangwena,Housebreaking,102
2020,5,2020-05-01,Ohangwena,Fraud,37
2020,5,2020-05-01,Ohangwena,Car Theft,23
2020,5,2020-05-01,Ohangwena,Drug Related,63
2020,5,2020-05-01,Oshikoto,Theft,58
2020,5,2020-05-01,Oshikoto,Assault,43
2020,5,2020-05-01,Oshikoto,Robbery,23
2020,5,2020-05-01,Oshikoto,Sexual Offence,20
2020,5,2020-05-01,Oshikoto,Housebreaking,39
2020,5,2020-05-01,Oshikoto,Fraud,20
2020,5,2020-05-01,Oshikoto,Car Theft,12
2020,5,2020-05-01,Oshikoto,Drug Related,24
2020,5,2020-05-01,Omusati,Theft,61
2020,5,2020-05-01,Omusati,Assault,47
2020,5,2020-05-01,Omusati,Robbery,27
2020,5,2020-05-01,Omusati,Sexual Offence,14
2020,5,2020-05-01,Omusati,Housebreaking,33
2020,5,2020-05-01,Omusati,Fraud,17
2020,5,2020-05-01,Omusati,Car Theft,7
2020,5,2020-05-01,Omusati,Drug Related,29
2020,5,2020-05-01,Kunene,Theft,51
2020,5,2020-05-01,Kunene,Assault,41
2020,5,2020-05-01,Kunene,Robbery,21
2020,5,2020-05-01,Kunene,Sexual Offence,14
2020,5,2020-05-01,Kunene,Housebreaking,38
2020,5,2020-05-01,Kunene,Fraud,22
2020,5,2020-05-01,Kunene,Car Theft,3
2020,5,2020-05-01,Kunene,Drug Related,29
2020,5,2020-05-01,Otjozondjupa,Theft,51
2020,5,2020-05-01,Otjozondjupa,Assault,40
2020,5,2020-05-01,Otjozondjupa,Robbery,19
2020,5,2020-05-01,Otjozondjupa,Sexual Offence,17
2020,5,2020-05-01,Otjozondjupa,Housebreaking,32
2020,5,2020-05-01,Otjozondjupa,Fraud,21
2020,5,2020-05-01,Otjozondjupa,Car Theft,7
2020,5,2020-05-01,Otjozondjupa,Drug Related,28
2020,5,2020-05-01,Kavango East,Theft,176
2020,5,2020-05-01,Kavango East,Assault,118
2020,5,2020-05-01,Kavango East,Robbery,78
2020,5,2020-05-01,Kavango East,Sexual Offence,31
2020,5,2020-05-01,Kavango East,Housebreaking,99
2020,5,2020-05-01,Kavango East,Fraud,45
2020,5,2020-05-01,Kavango East,Car Theft,28
2020,5,2020-05-01,Kavango East,Drug Related,81
2020,5,2020-05-01,Kavango West,Theft,58
2020,5,2020-05-01,Kavango West,Assault,43
2020,5,2020-05-01,Kavango West,Robbery,24
2020,5,2020-05-01,Kavango West,Sexual Offence,10
2020,5,2020-05-01,Kavango West,Housebreaking,38
2020,5,2020-05-01,Kavango West,Fraud,14
2020,5,2020-05-01,Kavango West,Car Theft,11
2020,5,2020-05-01,Kavango West,Drug Related,31
2020,5,2020-05-01,Zambezi,Theft,49
2020,5,2020-05-01,Zambezi,Assault,30
2020,5,2020-05-01,Zambezi,Robbery,18
2020,5,2020-05-01,Zambezi,Sexual Offence,10
2020,5,2020-05-01,Zambezi,Housebreaking,25
2020,5,2020-05-01,Zambezi,Fraud,14
2020,5,2020-05-01,Zambezi,Car Theft,12
2020,5,2020-05-01,Zambezi,Drug Related,40
2020,5,2020-05-01,Hardap,Theft,58
2020,5,2020-05-01,Hardap,Assault,41
2020,5,2020-05-01,Hardap,Robbery,22
2020,5,2020-05-01,Hardap,Sexual Offence,12
2020,5,2020-05-01,Hardap,Housebreaking,31
2020,5,2020-05-01,Hardap,Fraud,26
2020,5,2020-05-01,Hardap,Car Theft,9
2020,5,2020-05-01,Hardap,Drug Related,24
